Palabra	(Archivo, Cantidad)
predominantly	(3,1)
comprise	(3,1)
remaining	(3,1)(4,1)(1,2)
5%	(3,3)
considerations	(3,1)
asked	(3,2)
self-identify	(3,1)
latinobar??metro	(3,1)
survey	(3,1)(1,1)
respondents	(3,1)
belong	(3,1)
answered	(3,1)
59%	(3,1)
said	(3,1)(1,1)(5,1)
self-classified	(3,1)
poll	(3,1)
revealed	(3,1)
believed	(3,1)
possessed	(3,1)
434%	(3,1)
83%	(3,1)
403%	(3,1)
responded	(3,1)
nonethe	(3,1)
1907	(3,1)
101118	(3,1)
31%	(3,1)
practiced	(3,4)
culture	(3,7)
spoke	(3,1)(5,1)
irrespective	(3,1)
racial	(3,1)(1,1)
purity	(3,1)
directly	(3,2)(1,2)
asking	(3,1)
whether	(3,3)(1,2)
any	(3,2)(1,13)
ethnic	(3,4)
regardless	(3,1)
maintained	(3,3)(1,1)
traditions	(3,4)
46%	(3,2)
692192	(3,1)
fitted	(3,1)
description	(3,1)
873%	(3,1)
declared	(3,3)(1,3)
varying	(3,1)(1,1)
degrees	(3,1)
mixed	(3,1)
22	(3,1)(4,1)
ratified	(3,3)
binding	(3,1)
concerning	(3,2)
labour	(3,1)
ilo	(3,2)
169	(3,2)
2008	(3,3)(1,1)
decision	(3,2)(1,3)
landmark	(3,1)
aymara	(3,2)
water	(3,1)
upheld	(3,1)
rulings	(3,1)
pozo	(3,1)
almonte	(3,1)
appeals	(3,1)(1,1)
marks	(3,1)(1,1)
application	(3,1)(1,1)
earliest	(3,1)(1,1)
colonisers	(3,1)
arrived	(3,1)(1,1)
16th	(3,1)
absorbed	(3,2)
settler	(3,1)
beginning	(3,1)(4,1)(1,2)
exists	(3,1)(1,1)
today	(3,1)(1,1)(5,1)
modern	(3,2)(1,8)
lower	(3,1)(1,3)
18th	(3,1)(5,3)
centuries	(3,2)(5,1)
basques	(3,1)
elites	(3,1)
castilian	(3,1)
postcolonial	(3,1)
never	(3,2)(4,1)(1,1)
attractive	(3,1)
destination	(3,1)
remoteness	(3,1)
distance	(3,2)
preferred	(3,1)
stay	(3,1)
homelands	(3,1)
instead	(3,1)(1,1)
taking	(3,1)(1,1)
journey	(3,2)
straits	(3,1)
crossing	(3,2)
migration	(3,1)
migrant	(3,1)
large-scale	(3,1)
1851	(3,1)
05%	(3,1)
33%	(3,1)
14%	(3,2)
uruguay	(3,2)
undeniable	(3,1)
played	(3,3)(1,22)
france	(3,1)(1,5)
germany	(3,1)(4,1)(1,2)
croatia	(3,1)
descendants	(3,2)(5,1)
intermarried	(3,1)
intermarriage	(3,1)
mixture	(3,3)
races	(3,1)
shape	(3,1)
upper	(3,1)(5,1)
roughly	(3,1)(4,1)
500000	(3,1)
palestinian	(3,1)
800000	(3,1)
arab	(3,1)
descents	(3,1)
venezuela	(3,2)
haiti	(3,2)
colombia	(3,1)
2019	(3,4)(4,2)(1,2)
without	(3,1)(1,7)
counting	(3,1)
foreign-born	(3,1)
75%	(3,1)
1992	(3,1)(1,1)
numbers	(3,2)
entering	(3,1)(4,1)
elsewhere	(3,1)
grown	(3,2)
decade	(3,1)
tripling	(3,1)
arrivals	(3,1)
stemming	(3,1)
humanitarian	(3,1)
crises	(3,1)
ca	(3,2)
180000	(3,1)
460000	(3,1)
religion	(3,5)
2012	(3,9)(4,4)
666%	(3,1)
age	(3,3)(1,4)
claimed	(3,1)
adhere	(3,1)(1,1)
70%	(3,1)
17%	(3,1)
adherence	(3,1)
evangelical	(3,8)
referred	(3,1)(1,2)
denominations	(3,2)
orthodox???greek	(3,1)
persian	(3,1)
serbian	(3,1)
ukrainian	(3,1)
armenian???churches	(3,1)
jesus	(3,1)
christ	(3,1)
latter-day	(3,1)
saints	(3,4)
mormons	(3,1)
seventh-day	(3,1)
adventists	(3,1)
jehovahs	(3,1)
witnesses	(3,1)
essentially	(3,1)
termed	(3,1)
protestant	(3,1)
english-speaking	(3,1)(1,3)
adventism	(3,1)
denomination	(3,1)
90%	(3,1)
christians	(3,1)
pentecostal	(3,1)
wesleyan	(3,1)
lutheran	(3,1)
anglican	(3,1)
episcopalian	(3,1)
presbyterian	(3,1)
reformed	(3,1)
baptist	(3,1)
methodist	(3,1)
churches	(3,5)
amongst	(3,1)
irreligious	(3,1)
atheists	(3,1)
agnostics	(3,2)
account	(3,4)
12%	(3,1)
christianity	(3,1)
68%	(3,1)
belonging	(3,1)
13%	(3,1)
7%	(3,3)
adhering	(3,1)
atheist	(3,1)
populationchile	(3,1)
bah??????	(3,2)
religious	(3,6)
home	(3,2)(4,1)(1,4)
mother	(3,1)
temple	(3,1)
worship	(3,2)
2016	(3,2)(4,1)
serves	(3,2)
space	(3,1)
religions	(3,1)
backgrounds	(3,2)
gather	(3,1)
meditate	(3,1)
reflect	(3,1)
cast	(3,1)(4,1)
glass	(3,1)
translucent	(3,1)
marble	(3,1)
described	(3,1)(1,1)(5,1)
innovative	(3,1)
architectural	(3,2)
stylethe	(3,1)
guarantees	(3,1)
laws	(3,1)(1,23)
policies	(3,4)
contribute	(3,1)(1,1)
practice	(3,1)
levels	(3,1)(1,2)
protects	(3,1)
abuse	(3,1)(1,1)
governmental	(3,1)
actors	(3,1)(4,2)
separate	(3,1)(5,1)
1999	(3,3)(4,3)
prohibits	(3,1)
discrimination	(3,1)
enjoys	(3,1)
privileged	(3,1)
status	(3,1)(1,1)
occasionally	(3,1)
receives	(3,2)
preferential	(3,1)
treatment	(3,1)
officials	(3,1)(1,2)
attend	(3,2)
jewish	(3,1)
ceremoniesthe	(3,1)
treats	(3,1)
holidays	(3,3)
christmas	(3,1)
good	(3,1)(1,1)
friday	(3,1)
feast	(3,4)
virgin	(3,1)
carmen	(3,1)
peter	(3,1)
assumption	(3,1)
immaculate	(3,1)
conception	(3,1)(4,1)
recently	(3,2)
31	(3,1)(1,1)
reformation	(3,1)
holiday	(3,1)
countrythe	(3,1)
patron	(3,1)
our	(3,1)
lady	(3,1)
mount	(3,1)
carmel	(3,1)
saint	(3,2)(5,1)
james	(3,1)
benedict	(3,1)
canonized	(3,1)
alberto	(3,1)
teresa	(3,1)
languages	(3,4)
spoken	(3,3)
distinctively	(3,1)
accented	(3,1)
quite	(3,2)
unlike	(3,1)
syllables	(3,1)
dropped	(3,1)(4,1)
consonants	(3,1)
soft	(3,1)
pronunciation	(3,1)
accent	(3,2)
varies	(3,1)
slightly	(3,1)
noticeable	(3,1)
differences	(3,1)
class	(3,1)
section	(3,2)
migrated	(3,1)
modest	(3,1)(1,1)
helps	(3,2)
explain	(3,1)
relative	(3,2)
differentiation	(3,1)
radio	(3,2)
diffuse	(3,1)
homogenize	(3,1)
colloquial	(3,1)
expressionsthere	(3,1)
mapudungun	(3,1)
rapa	(3,3)
nui	(3,3)
sign	(3,1)
barely	(3,1)
surviving	(3,1)
qawasqar	(3,1)
yaghan	(3,1)
non-indigenous	(3,1)
italian	(3,1)(4,1)
greek	(3,1)(1,2)
invasion	(3,1)
lingua	(3,1)
franca	(3,1)
minority	(3,1)
extinct	(3,1)
close	(3,1)
extinctiongerman	(3,1)
extent	(3,2)
countryside	(3,1)
pockets	(3,1)
communities	(3,1)(1,1)
initiatives	(3,1)
opens	(3,1)
doors	(3,1)
mandatory	(3,1)(1,1)
students	(3,7)
grade	(3,1)
start	(3,1)
teaching	(3,1)
kindergarten	(3,1)
words	(3,1)
appropriated	(3,1)
everyday	(3,1)
preschool	(3,1)
primary	(3,3)(1,1)
school	(3,4)(4,1)(1,5)
provided	(3,1)(4,1)(1,2)
secondary	(3,4)
graduation	(3,2)
parts	(3,3)(1,1)(5,1)
receive	(3,3)
choose	(3,1)(1,1)
branch	(3,1)
scientific	(3,1)
humanistic	(3,1)
artistic	(3,2)
technical	(3,1)(1,3)
acquirement	(3,1)
certificate	(3,1)
licencia	(3,1)
ense??anza	(3,1)
mediachilean	(3,1)
segregated	(3,1)
three-tiered	(3,1)
quality	(3,1)(1,1)
reflects	(3,1)
socioeconomic	(3,1)
colegios	(3,1)
municipales	(3,1)
worst	(3,1)
attended	(3,2)(1,1)
subsidized	(3,1)
supplemented	(3,1)
fees	(3,2)
paid	(3,1)(1,1)(5,1)
mid-income	(3,1)
typically	(3,1)(1,2)
get	(3,2)(4,1)(1,2)
mid-level	(3,1)
entirely	(3,1)(4,1)
consistently	(3,2)(4,1)
best	(3,2)(1,2)
charge	(3,2)(1,1)
attendance	(3,1)
05	(3,1)
median	(3,2)
household	(3,2)
incomeupon	(3,1)
continue	(3,1)(1,2)
consist	(3,1)(1,1)
traditional	(3,4)(1,1)
universities	(3,3)(1,1)
medical	(3,1)(1,1)
universidad	(3,5)
portales	(3,1)
offer	(3,1)
partnership	(3,1)
yale	(3,1)
minsal	(3,1)
cabinet-level	(3,1)
planning	(3,1)
directing	(3,1)
coordinating	(3,1)(1,1)
executing	(3,1)
controlling	(3,1)
informing	(3,1)
formulated	(3,1)(1,1)
fund	(3,1)
fonasa	(3,2)
entity	(3,1)
entrusted	(3,1)
collect	(3,1)
manage	(3,1)
distribute	(3,1)
funds	(3,1)
funded	(3,1)
employees	(3,2)
pay	(3,3)
monthly	(3,1)
fundfonasa	(3,1)
nhss	(3,1)
executive	(3,1)
decentralized	(3,1)
service	(3,2)
offices	(3,1)
beneficiaries	(3,2)
benefit	(3,2)(1,1)
opt	(3,1)
costly	(3,1)
insurance	(3,1)
isapre	(3,1)
currency	(3,1)
peso	(3,1)
clp	(3,1)
prosperous	(3,1)
perception	(3,1)
july	(3,1)(4,3)
economychile	(3,1)
7th	(3,1)
efficient	(3,2)
prudent	(3,1)
join	(3,1)(1,1)(5,1)
gdp	(3,12)
behind	(3,1)(1,1)
panama	(3,1)
makes	(3,1)
20%	(3,1)
60%	(3,2)
escondida	(3,1)
producing	(3,1)(4,1)
supplies	(3,1)
produces	(3,1)
codelco	(3,1)
firm	(3,1)
competes	(3,1)(1,1)
companiessound	(3,1)
contributed	(3,2)(1,1)
steady	(3,1)
halved	(3,1)
poverty	(3,4)
experience	(3,1)
downturn	(3,1)
sluggish	(3,1)
2003	(3,4)(4,1)
show	(3,2)(4,3)(1,1)
clear	(3,1)(1,1)
signs	(3,1)
recovery	(3,1)
achieving	(3,2)
finished	(3,2)(4,1)
6%	(3,1)
reached	(3,4)(1,1)
falling	(3,2)
faced	(3,1)(1,1)
crisis	(3,1)
announced	(3,1)(4,6)
stimulus	(3,1)
spur	(3,1)
employment	(3,1)(1,1)
recession	(3,1)
aimed	(3,1)
expansion	(3,1)
2%	(3,1)
3%	(3,1)
nonetheless	(3,1)
analysts	(3,1)
disagreed	(3,1)
predicted	(3,1)
slowed	(3,1)
41%	(3,1)
quarter	(3,2)
2013the	(3,1)
labor	(3,2)
shortages	(3,1)
construction	(3,2)
percentage	(3,1)
incomes	(3,1)
line???defined	(3,1)
twice	(3,3)
satisfying	(3,1)
persons	(3,1)
minimal	(3,1)
nutritional	(3,1)
needs???fell	(3,1)
451%	(3,1)
1987	(3,1)
115%	(3,1)
surveys	(3,1)
critics	(3,2)
argue	(3,1)
figures	(3,2)(1,1)
published	(3,1)(4,5)(1,2)
using	(3,1)(4,2)(1,2)
yardstick	(3,1)
favoured	(3,1)
27%	(3,1)
feres	(3,1)
eclacas	(3,1)
111	(3,1)
welfare	(3,1)
protection	(3,2)
card	(3,1)(4,13)(1,10)
risk	(3,1)
povertythe	(3,1)
privatized	(3,2)
pension	(3,2)
afp	(3,1)
encouraged	(3,2)
savings	(3,1)
21%	(3,1)
compulsory	(3,1)
formal	(3,1)
salaries	(3,1)
privately	(3,1)
managed	(3,1)
fundschile	(3,1)
agreements	(3,1)
ftas	(3,1)
whole	(3,1)(1,2)
network	(3,6)(4,1)
fta	(3,1)
implemented	(3,1)
factoring	(3,1)
bilateral	(3,1)
china	(3,2)(1,1)
us88	(3,1)
66%	(3,1)
value	(3,1)
relationship	(3,1)
asia	(3,2)(1,1)
us52	(3,1)
us97	(3,1)
299%	(3,1)
year-on-year	(3,1)
imports	(3,1)
ecuador	(3,1)
1239%	(3,1)
thailand	(3,1)
721%	(3,1)
korea	(3,2)(1,1)
526%	(3,1)
369%chiles	(3,1)
approach	(3,1)
direct	(3,2)(1,5)
codified	(3,1)
registration	(3,1)
simple	(3,1)
transparent	(3,1)
guaranteed	(3,1)
official	(3,3)(4,3)(1,9)(5,1)
exchange	(3,1)
repatriate	(3,1)
profits	(3,1)
innovation	(3,1)(4,1)
hoping	(3,1)
bring	(3,1)
fdi	(3,1)
economystandard	(3,1)
poors	(3,1)
gives	(3,1)
rating	(3,1)
aa-	(3,1)
continues	(3,1)
down	(3,1)
debt	(3,2)
39%	(3,1)
net	(3,2)(1,1)
creditor	(3,1)
asset	(3,1)
deficit	(3,1)
revenue	(3,1)
lithium	(3,3)
thought	(3,1)(1,1)
batteries	(3,1)
electric	(3,2)
vehicles	(3,1)
stabilization	(3,1)
grids	(3,1)
proportions	(3,1)
renewables	(3,1)
electricity	(3,4)
mix	(3,1)
geopolitically	(3,1)
perspective	(3,1)
criticized	(3,1)
underestimating	(3,1)
incentives	(3,1)
worldthe	(3,2)
producer	(3,8)
iodine	(3,1)
rhenium	(3,1)
molybdenum	(3,1)
sixth	(3,1)(4,1)
seventh	(3,1)
eighth	(3,1)(1,1)
potash	(3,1)
thirteenth	(3,2)
sulfur	(3,1)
considerable	(3,1)
annual	(3,4)(1,2)
amounts	(3,1)
ranging	(3,1)
359	(3,1)
tonnes	(3,2)
513	(3,1)
geology	(3,1)
factors	(3,1)
historically	(3,1)(1,1)(5,1)
bases	(3,2)
allied	(3,1)
sectors	(3,1)
forestry	(3,1)
logging	(3,1)
fishing	(3,1)
49%	(3,1)
employ	(3,1)
136%	(3,2)
producers	(3,3)
cherry	(3,1)
blueberry	(3,1)
grape	(3,1)
apple	(3,1)
kiwi	(3,1)
peach	(3,1)
plum	(3,1)
hazelnut	(3,1)
focusing	(3,1)
exporting	(3,1)
high-value	(3,1)
fruits	(3,2)
products	(3,1)
pears	(3,1)
onions	(3,2)
wheat	(3,1)
maize	(3,1)
oats	(3,1)
garlic	(3,1)
asparagus	(3,1)
beans	(3,1)
beef	(3,3)
poultry	(3,1)
wool	(3,1)
timber	(3,1)
hemp	(3,1)
strict	(3,1)
customs	(3,1)
diseases	(3,1)
mad	(3,1)
cow	(3,1)
disease	(3,1)
fruit	(3,1)
fly	(3,1)
phylloxera	(3,1)
location	(3,1)
hemisphere	(3,2)
harvesting	(3,1)
conditions	(3,1)
comparative	(3,1)
advantages	(3,1)
mountainous	(3,1)
intensity	(3,1)
arable	(3,1)
corresponds	(3,1)
262%	(3,1)
utilizes	(3,1)
14015	(3,1)
hectares	(3,1)
landchile	(3,1)
salmon	(3,1)
norway	(3,1)
26%	(3,1)
supply	(3,3)
wine	(3,1)
usually	(3,1)(1,8)
6th	(3,1)
tourism	(3,8)
sustained	(3,1)
grew	(3,1)
generating	(3,1)
45	(3,1)(1,2)
dollars	(3,1)
tourists	(3,4)
sernatur	(3,1)
2	(3,1)(4,1)(5,2)
visit	(3,1)
visitors	(3,1)
come	(3,1)(4,1)
asians	(3,1)
chinathe	(3,1)
attractions	(3,1)
places	(3,2)
natural	(3,2)
beauty	(3,1)
arrive	(3,1)
admire	(3,1)
incaic	(3,1)
moon	(3,1)
putre	(3,1)
pomerape	(3,1)
6348	(3,1)
6282	(3,1)
respectively	(3,1)
ski	(3,3)
resorts	(3,2)
repute	(3,1)
portillo	(3,1)
valle	(3,1)
termas	(3,1)
chill??n	(3,1)
tourist	(3,3)
parks	(3,2)
conguill??o	(3,1)
park	(3,5)(5,1)
tir??a	(3,1)
ca??ete	(3,1)
mocha	(3,1)
laguna	(3,1)
rafael	(3,1)
torres	(3,1)
paine	(3,1)
heritage	(3,9)
finally	(3,1)(5,1)
destinations	(3,2)
locals	(3,1)
concentrated	(3,1)(4,1)
beach	(3,2)(1,1)
serena	(3,1)
coquimbo	(3,1)
centers	(3,3)
puc??n	(3,2)
shores	(3,1)
villarrica	(3,1)
proximity	(3,1)
vi??a	(3,2)
mar	(3,2)
valpara??sos	(3,1)
affluent	(3,1)
neighbor	(3,1)
beaches	(3,1)
casino	(3,1)
song	(3,2)
festival	(3,1)
musical	(3,3)(4,1)
event	(3,2)(1,6)
pichilemu	(3,1)
widely	(3,1)(1,4)
surfing	(3,2)
spot	(3,2)
fodorsin	(3,1)
brand	(3,1)
ways	(3,1)(4,1)
surprising	(3,1)
intended	(3,1)(4,2)
promote	(3,1)
museums	(3,1)
museum	(3,1)(1,2)
fine	(3,1)
arts	(3,2)(4,1)
built	(3,1)
1880	(3,1)
feature	(3,1)(4,1)(1,1)
artists	(3,1)
world-renowned	(3,2)
trail	(3,1)
resides	(3,1)
scenic	(3,1)
route	(3,3)
hopes	(3,1)
encouraging	(3,1)
conservation	(3,2)
1740	(3,1)
2800	(3,1)
designed	(3,1)(4,3)(1,1)
tompkin	(3,1)
founders	(3,1)
douglas	(3,1)
tompkins	(3,1)
wife	(3,1)
kristine	(3,1)
infrastructure	(3,2)
functioning	(3,1)
vital	(3,1)
85984	(3,1)
53428	(3,1)
highways	(3,3)
21289	(3,1)
13228	(3,1)
paved	(3,2)(1,1)
3347	(3,1)
2080	(3,1)
duplicated	(3,1)
mid-1990s	(3,1)
improvement	(3,1)
roads	(3,1)
bidding	(3,1)
processes	(3,1)
road	(3,2)
emphasis	(3,1)
duplication	(3,2)
continuous	(3,1)
1950	(3,3)
1212	(3,1)
panamerican	(3,1)
highway	(3,1)
caldera	(3,1)
excerpts	(3,1)
valparaiso	(3,1)
buses	(3,1)
means	(3,1)
long-distance	(3,1)
transportation	(3,1)
decline	(3,1)
railway	(3,1)
bus	(3,1)
entire	(3,1)(1,1)
30-hour	(3,1)
osorno	(3,3)
372	(3,1)
runways	(3,1)
62	(3,1)
310	(3,1)
unpaved	(3,1)
airports	(3,1)
chacalluta	(3,1)
airport	(3,11)
aracena	(3,1)
andr??s	(3,1)
sabella	(3,1)
g??lvez	(3,1)
carriel	(3,1)
sur	(3,1)
el	(3,1)(1,1)
tepual	(3,1)
presidente	(3,1)
temuco	(3,3)
mataveri	(3,1)
remote	(3,1)
defined	(3,1)(1,1)
comodoro	(3,1)
merino	(3,1)
ben??tez	(3,1)
12105524	(3,1)
passengers	(3,1)
airline	(3,1)
holding	(3,1)(1,2)
company	(3,2)(4,3)
carrier	(3,1)
latam	(3,1)
airlines	(3,1)
telecommunications	(3,2)
telecommunication	(3,2)
telephone	(3,2)
microwave	(3,1)
relay	(3,1)
facilities	(3,1)
satellite	(3,1)
3	(3,1)(4,1)(5,3)
stations	(3,1)
3276	(3,1)
lines	(3,1)(1,3)
2413	(3,1)
mobile	(3,1)(4,2)
cellular	(3,1)
subscribers	(3,1)
database	(3,1)
itu	(3,1)
6142%	(3,1)
uses	(3,1)
internet	(3,3)(1,1)
code	(3,1)(1,4)
cl	(3,1)
tes	(3,1)
230gj	(3,1)
dominated	(3,2)
fossil	(3,1)
fuels	(3,1)
gas	(3,3)
accounting	(3,1)
734%	(3,1)
biofuels	(3,1)
waste	(3,1)
205%	(3,1)
sourced	(3,1)
hydro	(3,1)
renewableselectricity	(3,1)
consumption	(3,1)
6890	(3,1)
twh	(3,1)
sources	(3,1)
hydroelectricity	(3,1)
renewable	(3,3)
wind	(3,2)
solar	(3,3)
collaboration	(3,1)
department	(3,1)
endesa	(3,1)
field	(3,2)(1,5)
installed	(3,1)(5,1)
6807	(3,1)
hydropower	(3,1)
28th	(3,2)
3137	(3,1)
4468	(3,1)
22nd	(3,1)
375	(3,1)
biomass	(3,1)
irradiation	(3,1)
obtaining	(3,1)
basically	(3,1)
does	(3,1)(1,4)
produce	(3,1)(1,1)
import	(3,1)
seen	(3,1)(1,2)(5,1)
solution	(3,1)
shortcomings	(3,1)
pre-columbian	(3,1)
spreading	(3,1)
cultural	(3,11)
influences	(3,2)
bavarian	(3,1)
cuisine	(3,5)
frutillar	(3,1)
varas	(3,2)
octay	(3,1)
faja	(3,1)
maisan	(3,1)
pitrufqu??n	(3,1)
victoria	(3,1)
folkloric	(3,2)
classical	(3,1)(1,1)
generates	(3,1)
styles	(3,1)
cueca	(3,2)
though	(3,1)(4,3)(1,5)
tonada	(3,1)
arising	(3,1)
imported	(3,1)
colonists	(3,2)(5,2)
distinguished	(3,2)
melodic	(3,1)
prominent	(3,1)(1,2)
melody	(3,1)
appears	(3,1)(1,2)
rebirth	(3,1)
folk	(3,2)(1,1)
ram??n	(3,2)
cuatro	(3,1)
huasos	(3,2)
quincheros	(3,1)
composers	(3,1)
ra??l	(3,2)
violeta	(3,1)
parra	(3,3)
mid-1960s	(3,1)
revitalized	(3,1)
nueva	(3,1)
canci??n	(3,1)
chilena	(3,1)
associated	(3,1)(1,4)
activists	(3,1)
reformers	(3,1)
inti-illimani	(3,1)
quilapay??n	(3,1)
singer	(3,1)
researcher	(3,1)
folklore	(3,4)
ethnography	(3,1)
margot	(3,1)
loyola	(3,1)
rock	(3,1)
jaivas	(3,1)
prisioneros	(3,1)
ley	(3,1)
tres	(3,1)
festivals	(3,1)
literature	(3,4)
poets	(3,2)
gabriela	(3,1)
mistral	(3,1)
nobel	(3,2)
prize	(3,3)
poet	(3,2)
pablo	(3,2)
neruda	(3,1)
1971	(3,1)
library	(3,1)
romance	(3,1)
personalized	(3,1)
negra	(3,1)
list	(3,1)
pezoa	(3,1)
v??liz	(3,1)
vicente	(3,1)
huidobro	(3,1)
gonzalo	(3,1)
rokha	(3,1)
nicanor	(3,1)
ivonne	(3,1)
co??uecar	(3,1)
zurita	(3,1)
isabel	(3,1)
best-selling	(3,1)
novelist	(3,3)
her	(3,1)(1,1)
novels	(3,1)
sold	(3,1)(4,3)
donosos	(3,1)
novel	(3,1)
obscene	(3,1)
night	(3,1)
critic	(3,1)
harold	(3,1)
bloom	(3,1)
canonical	(3,1)
20th-century	(3,1)
roberto	(3,1)
bola??o	(3,1)
translations	(3,1)
excellent	(3,1)
reception	(3,1)
reflection	(3,1)
topographical	(3,1)
featuring	(3,1)
assortment	(3,1)
seafood	(3,1)
vegetables	(3,1)
recipes	(3,1)
asado	(3,1)
cazuela	(3,1)
empanadas	(3,1)
humitas	(3,1)
pastel	(3,2)
choclo	(3,1)
papas	(3,1)
curanto	(3,1)
sopaipillas	(3,1)
crudos	(3,1)
example	(3,1)(4,1)(1,6)
culinary	(3,1)
contributions	(3,1)
raw	(3,1)
minced	(3,1)
llama	(3,2)
shellfish	(3,1)
rice	(3,1)
bread	(3,1)
taken	(3,1)(1,1)
meat	(3,1)
lemon	(3,1)
mayonnaise	(3,1)
yogurt	(3,1)
beer	(3,1)
demographic	(3,1)
elements	(3,1)(4,1)
occurred	(3,1)(1,3)
classified	(3,1)
festive	(3,1)
purpose	(3,1)
dances	(3,2)
ceremonies	(3,1)
components	(3,1)
mythology	(3,6)
beliefs	(3,1)
chilote	(3,1)
sports	(3,1)(4,1)
sport	(3,5)(1,5)
football	(3,8)(4,1)(1,109)
appeared	(3,1)(4,2)
nine	(3,1)(4,1)
fifa	(3,3)(1,27)
cups	(3,1)
hosting	(3,1)(1,1)
1962	(3,1)
cup	(3,3)(1,27)
team	(3,4)(4,1)(1,38)
copa	(3,3)(1,2)
am??rica	(3,1)(1,1)
titles	(3,1)(4,1)
runners-up	(3,1)
bronze	(3,6)(1,3)
medals	(3,5)(1,1)
pan	(3,1)
games	(3,4)(4,9)(1,22)
medal	(3,6)
olympics	(3,3)(1,2)
finishes	(3,1)
under-17	(3,1)
under-20	(3,1)
youth	(3,1)
tournaments	(3,1)(1,3)
league	(3,3)(1,19)
primera	(3,1)
divisi??n	(3,1)
iffhs	(3,1)
ninth	(3,1)(1,1)
strongest	(3,1)
clubs	(3,1)(1,11)
colo-colo	(3,2)
cat??lica	(3,1)
club	(3,2)(1,8)
having	(3,1)(1,5)
championships	(3,1)(1,4)
coveted	(3,1)
libertadores	(3,1)(1,1)
tournament	(3,4)(1,13)
champion	(3,1)(1,2)
sudamericana	(3,1)(1,1)
tennis	(3,4)
clay	(3,1)
davis	(3,1)
1976	(3,1)
captured	(3,1)
mens	(3,4)(1,6)
singles	(3,4)
doubles	(3,1)
nicol??s	(3,1)
mass??	(3,1)
marcelo	(3,1)
man	(3,1)
atp	(3,1)
1998	(3,1)(4,3)
anita	(3,1)
lizana	(3,1)
open	(3,3)
1937	(3,1)
woman	(3,1)
win	(3,1)(1,1)
grand	(3,1)
slam	(3,1)
ayala	(3,1)
runner-up	(3,1)
fernando	(3,1)
australian	(3,1)
finals	(3,1)(1,2)
beijing	(3,1)
olympic	(3,1)(1,6)
boasts	(3,1)
seven	(3,1)(1,2)
athletics	(3,2)
equestrian	(3,1)
boxing	(3,2)
shooting	(3,1)
paralympic	(3,1)
rodeo	(3,1)
hockey	(3,1)
chueca	(3,1)
skiing	(3,1)
snowboarding	(3,1)
polo	(3,2)
professionally	(3,1)(1,1)
championship	(3,4)(1,3)
basketball	(3,1)
earned	(3,1)
fiba	(3,3)
1959	(3,1)
1953	(3,1)
finishing	(3,1)(1,2)
host	(3,1)(1,1)
six-stage	(3,1)
250-kilometer	(3,1)
160	(3,1)
footrace	(3,1)
annually	(3,1)
attracts	(3,1)
150	(3,1)
competitors	(3,1)(1,1)
dakar	(3,1)
rally	(3,1)
off-road	(3,1)
automobile	(3,1)
intangible	(3,1)
composed	(3,1)(4,1)
visual	(3,1)
crafts	(3,1)
secondly	(3,1)
tangible	(3,1)
buildings	(3,1)
objects	(3,1)
archaeological	(3,1)(1,2)
ethnographic	(3,1)
technological	(3,1)
significance	(3,1)
unesco	(3,1)
accordance	(3,1)(1,3)
district	(3,1)
humberstone	(3,1)
santa	(3,1)
laura	(3,1)
saltpeter	(3,1)
sewell	(3,1)
way	(3,1)(1,1)
honour	(3,1)
commemorate	(3,1)
celebrated	(3,1)
chile-related	(3,1)
articles	(3,1)
outline	(3,1)
notes	(3,1)(1,1)(5,3)
citations	(3,1)
reading	(3,1)
external	(3,1)(4,1)(1,2)(5,1)
links	(3,1)(4,2)(1,1)(5,1)
website	(3,2)(4,2)(5,1)
thisischile	(3,1)
commerce	(3,1)
archived	(3,1)
wayback	(3,1)
machine	(3,1)
factbook	(3,1)
intelligence	(3,1)
ucb	(3,1)
libraries	(3,1)
govpubs	(3,1)
curlie	(3,1)(1,1)
profile	(3,1)
bbc	(3,1)
news	(3,1)
maps	(3,1)
interactive	(3,1)
summary	(3,1)
statistics	(3,1)
wikimedia	(3,1)
atlas	(3,1)
geographic	(3,1)
data	(3,1)(4,6)
openstreetmap	(3,1)
forecasts	(3,1)
futures	(3,1)
digimon	(4,96)
japanese	(4,6)
????????????	(4,1)(1,1)
hepburn	(4,1)
dejimon	(4,1)
branded	(4,1)
digital	(4,13)
monsters	(4,4)
stylized	(4,1)
???????????????????????????	(4,1)
dejitaru	(4,1)
monsut??	(4,1)
franchise	(4,8)
encompassing	(4,1)
virtual	(4,8)
pet	(4,5)
toys	(4,2)
anime	(4,9)
manga	(4,5)
video	(4,9)(1,2)
films	(4,6)
trading	(4,1)(5,3)
game	(4,21)(1,63)
focuses	(4,1)
eponymous	(4,1)
creatures	(4,3)(1,1)
inhabit	(4,1)
universe	(4,1)
originated	(4,1)
earths	(4,1)
communication	(4,1)
networks	(4,2)
1997	(4,5)
pets	(4,5)
masculine	(4,2)
counterpart	(4,2)
tamagotchi	(4,2)
look	(4,2)(1,1)
cute	(4,1)
iconic	(4,1)
devices	(4,2)
screens	(4,1)
developments	(4,1)
harder-edged	(4,1)
comics	(4,4)
momentum	(4,1)
released	(4,16)
japan	(4,9)(1,3)
incarnation	(4,1)
adventure	(4,17)
genres	(4,2)
role-playing	(4,2)
racing	(4,2)
fighting	(4,2)(5,1)
mmorpgs	(4,1)
